counties_lims_code,counties_name
AB,Argyll and Bute
AY,Ayrshire
BED,Bedfordshire
BERK,Berkshire
BUCK,Buckinghamshire
CAMB,Cambridgeshire
CAR,Carmarthenshire
CER,Ceredigion
CHES,Chesire
CI,Channel Islands
CLV,Clyde Valley
CORNIS,Cornwall and Isles of Scilly
CUMB,Cumbria
DARL,Cleveland & Darlington
DERB,Derbyshire
DEV,Devon
DG,Dumfries & Galloway
DORS,Dorset
DUR,Durham
EA,Eileanan an lar
EC,East Central
ERNL,East Riding and North Lincolnshire
ESX,Essex
FIF,Fife
GLOND,Greater London
GLXS,Gloucestershire
GMAN,Greater Manchester
HANT,Hampshire
HERE,Herefordshire
HERT,Hertfordshire
HIGH,Highlands
IOM,Isle of Man
IOW,Isle of Wight
KENT,Kent
LANCS,Lancashire
LEIC,Leicestershire and Rutland
LINC,Lincolnshire
LOTH,Lothian
MERS,Merseyside
NES,North Eastern Scotland
NHAM,Northamptonshire
NI,Northern Ireland
NORF,Norfolk
NOTT,Nottinghamshire
NRTH,Northumberland
NSSG,Northern Somerset & South Gloucestershire
NY,North Yorkshire
ORK,Orkney
OX,Oxfordshire
PEM,Pembrokeshire
POW,Powys
SCB,Scottish Borders
SHR,Shropshire
SHT,Shetland
SOM,Somerset excl North
STAF,Staffordshire
SUFF,Suffolk
SURR,Surrey
SXE,East Sussex
SXW,West Sussex
SY,South Yorkshire
TAY,Tayside
TW,Tyne & Wear
WARK,Warwickshire
WILT,Wiltshire
WMD,West Midlands
WNE,North East Wales
WNW,North West Wales
WORC,Worcestershire
WS,South Wales
WY,West Yorkshire