species_lims_code,lims_code,description
CATTLE,MILK,Dairy
CATTLE,SUCKLER,Suckler
CATTLE,FINISHER,Beef Finisher
CATTLE,REARING,Calf Rearer
CATTLE,CAPTZOO,Captive or Zoo
CATTLE,UNKNOWN,Unknown
CATTLE,NA,N/A
SHEEP,HILLSHEEP,Hill
SHEEP,LOWLAND,Lowland
SHEEP,FINISHER,Lamb Finisher
SHEEP,MILK,Dairy
SHEEP,FIBRE,Fibre
SHEEP,PET,Pet
SHEEP,UNKNOWN,Unknown
SHEEP,NA,N/A
GOAT,HILLSHEEP,Hill
GOAT,LOWLAND,Lowland
GOAT,FINISHER,Lamb Finisher
GOAT,MILK,Dairy
GOAT,FIBRE,Fibre
GOAT,PET,Pet
GOAT,UNKNOWN,Unknown
GOAT,NA,N/A
,WILD,Wild
,FIBRE,Fibre
,PET,Pet
,ZOO,Zoo
,NA,N/A